City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sabha,27.04,14.43,78.93,14,0,0.65,LY,1588528868
Kiunga,-6.12,141.29,75.56,97,100,1.97,PG,1588528868
Beloha,-25.17,45.05,66.76,84,2,4.85,MG,1588528869
Amuntai,-2.42,115.25,74.71,94,100,1.54,ID,1588528869
Verkhnyaya Inta,65.98,60.31,25.34,96,100,1.81,RU,1588528869
Malindi,-3.22,40.12,81.3,79,88,17.56,KE,1588528870
Kaeo,-35.1,173.78,57.0,57,4,3.0,NZ,1588528870
Valley,45.13,-116.13,35.6,80,75,9.17,US,1588528870
Barcelos,41.54,-8.62,84.2,42,100,1.43,PT,1588528649
Kalmunai,7.42,81.82,82.78,79,81,5.3,LK,1588528871
Palmer,42.16,-72.33,75.0,43,40,11.41,US,1588528783
Manzhouli,49.6,117.43,44.98,49,52,12.24,CN,1588528871
Thinadhoo,0.53,72.93,83.01,82,100,24.87,MV,1588528871
Mossamedes,-15.2,12.15,77.65,63,0,9.66,AO,1588528871
Half Moon Bay,37.46,-122.43,64.99,76,1,13.87,US,1588528872
Stokmarknes,68.56,14.91,33.01,91,99,1.99,NO,1588528747
Flin Flon,54.77,-101.86,33.8,59,5,5.82,CA,1588528825
Novhorodka,48.37,32.66,64.4,48,95,6.71,UA,1588528873
Samarai,-10.62,150.67,81.0,84,99,15.1,PG,1588528873
Vila Velha,-20.33,-40.29,80.6,54,40,14.99,BR,1588528739
Tarpon Springs,28.15,-82.76,86.0,37,1,5.82,US,1588528809
Fujin,47.26,132.03,41.61,72,100,10.69,CN,1588528874
La Tuque,47.43,-72.78,50.61,81,100,5.73,CA,1588528874
Manassas,38.75,-77.48,70.0,93,20,5.82,US,1588528835
South Venice,27.05,-82.42,87.01,57,1,9.17,US,1588528875
Makakilo City,21.35,-158.09,75.2,69,1,5.82,US,1588528875
Berezniki,59.42,56.81,28.0,67,27,2.62,RU,1588528875
Road Town,18.42,-64.62,84.2,70,20,10.29,VG,1588528876
Terney,45.05,136.61,43.5,75,72,5.08,RU,1588528876
Oriximiná,-1.77,-55.87,88.02,68,59,1.66,BR,1588528876
Hurghada,27.26,33.81,77.0,78,90,6.93,EG,1588528877
Leeton,-34.57,146.4,39.2,100,0,5.86,AU,1588528877
Magadan,59.57,150.8,30.38,94,86,27.69,RU,1588528878
Menongue,-14.66,17.69,64.94,30,0,2.91,AO,1588528878
La Esperanza,14.87,-91.57,75.0,40,11,4.0,GT,1588528878
Cocorit,27.58,-109.97,91.4,14,5,6.93,MX,1588528878
Namatanai,-3.67,152.43,79.11,82,100,5.82,PG,1588528879
Muisne,0.6,-80.03,86.0,79,75,9.17,EC,1588528879
Rāvar,31.27,56.81,77.68,15,2,16.75,IR,1588528879
Fairview,40.81,-74.0,79.0,53,1,4.7,US,1588528830
Codrington,-38.27,141.97,51.91,75,89,3.6,AU,1588528879
Katsuura,35.13,140.3,66.0,82,100,1.99,JP,1588528880
Koulikoro,14.0,-7.75,105.26,6,0,5.79,ML,1588528880
Gimli,50.63,-96.99,43.0,74,62,8.01,CA,1588528862
Caravelas,-17.71,-39.25,78.98,69,18,13.8,BR,1588528880
Antofagasta,-23.65,-70.4,64.4,72,32,14.99,CL,1588528881
Adrar,20.5,-10.07,100.38,6,5,6.85,MR,1588528881
Balta,47.94,29.62,57.47,75,49,3.49,UA,1588528881
Waipawa,-41.41,175.52,59.0,87,42,9.17,NZ,1588528882
Guerrero Negro,27.98,-114.06,70.99,58,9,17.2,MX,1588528882
Acapulco de Juárez,16.86,-99.89,84.2,70,5,8.05,MX,1588528882
Presidencia Roque Sáenz Peña,-26.79,-60.44,81.5,36,42,8.46,AR,1588528882
Gamba,-2.65,10.0,79.45,88,72,6.22,GA,1588528883
Ulaangom,49.98,92.07,54.37,32,77,0.83,MN,1588528883
Contamana,-7.33,-75.02,82.65,84,72,3.22,PE,1588528883
Saint Paul Harbor,57.79,-152.41,48.2,36,1,19.46,US,1588528884
Akdepe,42.06,59.38,78.8,27,90,4.7,TM,1588528884
Krabi,8.07,98.91,81.0,100,20,2.24,TH,1588528884
Margate,51.38,1.39,55.0,66,100,1.01,GB,1588528683
Caçador,-26.78,-51.02,69.44,27,0,3.67,BR,1588528885
Aktau,43.65,51.2,62.6,72,40,6.71,KZ,1588528885
Naryan-Mar,67.67,53.09,19.13,96,73,2.68,RU,1588528885
Kartaly,53.05,60.65,44.42,51,0,6.08,RU,1588528885
Lavrentiya,65.58,-171.0,25.72,90,0,2.01,RU,1588528886
Bikaner,28.02,73.3,89.76,26,3,8.28,IN,1588528886
Mari-Turek,56.79,49.62,44.37,67,7,6.51,RU,1588528886
Ipojuca,-8.4,-35.06,86.0,70,40,8.05,BR,1588528887
Leningradskiy,69.38,178.42,19.15,85,0,3.04,RU,1588528887
Canyon,34.98,-101.92,78.01,53,46,1.01,US,1588528887
Ternate,0.8,127.4,82.15,73,56,1.95,ID,1588528888
São Mateus,-18.72,-39.86,79.47,60,26,12.12,BR,1588528829
Comodoro Rivadavia,-45.87,-67.5,64.4,39,75,19.46,AR,1588528881
Najrān,17.49,44.13,89.6,21,75,4.7,SA,1588528888
Sucúa,-2.47,-78.17,68.0,94,90,6.93,EC,1588528888
Saldanha,-33.01,17.94,60.8,72,4,9.17,ZA,1588528591
Iwaki,37.05,140.88,64.99,85,100,4.0,JP,1588528889
Sobolevo,54.43,31.9,55.74,78,82,3.51,RU,1588528889
Imbituba,-28.24,-48.67,73.4,46,20,10.29,BR,1588528889
Shelabolikha,53.41,82.62,60.8,26,86,4.47,RU,1588528890
Mahon,39.89,4.27,68.0,77,52,8.05,ES,1588528890
Santa Cruz,30.42,-9.6,77.0,57,0,9.17,MA,1588528869
Bull Savanna,17.89,-77.59,82.9,61,62,6.93,JM,1588528891
Banska Bystrica,48.5,19.5,53.6,50,20,8.05,SK,1588528891
Lorengau,-2.02,147.27,81.7,79,92,4.29,PG,1588528891
Eilenburg,51.46,12.63,57.0,66,75,2.24,DE,1588528892
Torrington,41.8,-73.12,73.99,45,44,4.0,US,1588528624
Ardakān,32.31,54.02,80.6,12,24,9.17,IR,1588528892
Amapá,1.0,-52.0,81.16,85,69,3.98,BR,1588528893
Bathsheba,13.22,-59.52,86.0,66,40,20.8,BB,1588528893
Bonfim,3.08,-59.95,81.64,73,89,7.02,BR,1588528893
Diplo,24.47,69.58,83.41,73,0,17.31,PK,1588528893
Longyearbyen,78.22,15.64,19.4,67,20,4.65,SJ,1588528894
Catuday,16.29,119.81,81.75,79,73,8.32,PH,1588528894
Todos Santos,23.45,-110.22,66.99,82,100,5.99,MX,1588528894
Eltham,-39.43,174.3,57.99,90,65,8.21,NZ,1588528895
Douglas,41.3,-96.17,72.0,33,90,4.7,US,1588528689
Okakarara,-20.58,17.43,65.66,15,0,1.74,NA,1588528895
Ukiah,39.15,-123.21,57.99,58,1,6.2,US,1588528665
Aykhal,66.0,111.5,30.2,42,3,6.71,RU,1588528896
North Platte,41.12,-100.77,69.01,52,1,4.7,US,1588528896
Pervomays'k,48.04,30.85,59.54,71,83,1.61,UA,1588528896
Virginia Beach,36.85,-75.98,84.0,47,20,11.41,US,1588528788
Bubaque,11.28,-15.83,79.41,72,0,18.79,GW,1588528896
Olafsvik,64.89,-23.71,39.74,69,100,11.68,IS,1588528897
Marang,5.21,103.21,80.6,94,20,2.24,MY,1588528897
Tessalit,20.2,1.01,96.8,7,0,7.52,ML,1588528897
Nantucket,41.28,-70.1,53.6,76,90,11.41,US,1588528897
Chumikan,54.72,135.31,26.78,91,0,16.37,RU,1588528898
Bilibino,68.05,166.44,14.27,86,0,2.26,RU,1588528898
Isfana,39.84,69.53,64.4,72,11,2.24,KG,1588528898
Cockburn Town,21.46,-71.14,80.06,74,26,6.98,TC,1588528898
Terrace,54.52,-128.6,48.2,70,75,10.29,CA,1588528899
San José de Gracia,20.67,-102.58,94.05,10,1,2.24,MX,1588528899
Bulgan,48.81,103.53,50.2,37,100,4.76,MN,1588528899
Okhotsk,59.38,143.3,34.21,88,100,16.35,RU,1588528899
Dakar,14.69,-17.44,77.0,69,0,13.87,SN,1588528867
Chihuahua,28.5,-106.0,84.2,17,20,1.25,MX,1588528900
Libenge,3.65,18.63,82.76,55,70,1.61,CD,1588528900
Piaçabuçu,-10.41,-36.43,83.05,71,88,7.29,BR,1588528900
Sibolga,1.74,98.78,77.47,81,100,3.22,ID,1588528900
Talaya,61.38,152.75,22.78,92,100,10.74,RU,1588528901
Bilma,18.69,12.92,96.37,9,58,12.19,NE,1588528901
Russell,32.35,-85.2,82.0,42,20,3.36,US,1588528901
Jackson,42.42,-122.83,53.01,75,20,2.55,US,1588528731
São José da Coroa Grande,-8.9,-35.15,82.99,73,58,8.37,BR,1588528901
Pryamitsyno,51.66,35.93,60.8,67,40,13.42,RU,1588528902
Laguna,38.42,-121.42,68.0,48,1,5.82,US,1588528780
Madingou,-4.15,13.55,80.8,72,47,2.46,CG,1588528902
Tuatapere,-46.13,167.68,48.7,88,73,0.16,NZ,1588528902
Sola,-13.88,167.55,82.02,77,100,11.7,VU,1588528903
Joniškis,56.24,23.62,55.4,54,20,11.41,LT,1588528903
Marawi,8.0,124.29,77.0,81,93,10.0,PH,1588528903
Verkhoyansk,67.54,133.38,9.0,90,0,2.37,RU,1588528903
Mocuba,-16.84,36.99,67.5,92,65,3.4,MZ,1588528904
Chara,56.91,118.26,34.59,58,100,2.93,RU,1588528904
Zhigansk,66.77,123.37,15.58,92,0,2.64,RU,1588528904
Kondinskoye,59.65,67.41,37.44,78,89,8.39,RU,1588528904
Alihe,50.57,123.72,32.95,64,35,0.81,CN,1588528904
San Rafael,-34.62,-68.33,70.79,37,21,10.94,AR,1588528627
Ayorou,14.73,0.92,98.46,8,0,3.0,NE,1588528905
Boda,4.32,17.47,81.88,54,18,1.25,CF,1588528905
Tilichiki,60.47,166.1,20.7,97,59,7.43,RU,1588528905
Swakopmund,-22.68,14.53,65.44,63,0,11.95,NA,1588528906
Grindavik,63.84,-22.43,41.0,44,100,12.75,IS,1588528906
Sørland,67.67,12.69,39.2,86,75,16.11,NO,1588528906
Coahuayana Viejo,18.73,-103.68,87.8,33,40,7.52,MX,1588528906
Kungurtug,50.6,97.52,44.1,34,56,1.34,RU,1588528907
Boat of Garten,57.25,-3.76,50.0,76,90,9.17,GB,1588528907
Aripuanã,-9.17,-60.63,91.87,46,10,2.46,BR,1588528907
Killybegs,54.63,-8.45,55.4,62,20,9.17,IE,1588528907
San Andrés del Rabanedo,42.61,-5.62,73.4,35,100,5.82,ES,1588528908
Dongsheng,39.82,109.98,56.86,23,82,17.56,CN,1588528908
Yanji,42.91,129.51,51.17,72,99,13.24,CN,1588528908
Chipinge,-20.19,32.62,59.47,39,0,4.21,ZW,1588528908
Marabu,4.41,114.01,78.8,100,75,3.36,MY,1588528909
Neuquén,-38.95,-68.06,64.4,36,62,6.93,AR,1588528909
Matagami,49.75,-77.63,41.0,93,90,9.17,CA,1588528909
Nísia Floresta,-6.09,-35.21,86.0,70,20,13.87,BR,1588528909
Turukhansk,65.82,87.98,34.41,92,90,8.75,RU,1588528910
Mahibadhoo,3.78,72.97,84.67,79,97,12.33,MV,1588528910
Havelock,34.88,-76.9,84.2,39,1,19.46,US,1588528653
Vila,42.03,-8.16,82.99,57,100,6.93,PT,1588528910
Meadow Lake,34.8,-106.54,78.8,13,1,4.7,US,1588528911
Clyde River,70.47,-68.59,14.0,66,40,11.41,CA,1588528911
Tsumeb,-19.23,17.72,70.14,15,0,10.74,NA,1588528911
Ambon City,-3.7,128.18,81.93,77,97,3.98,ID,1588528912
Coquimbo,-29.95,-71.34,62.6,67,0,10.29,CL,1588528912
Kahului,20.89,-156.47,73.4,83,40,16.11,US,1588528912
Changping,40.22,116.22,68.0,72,100,8.95,CN,1588528912
Chake Chake,-5.25,39.77,78.76,85,73,11.68,TZ,1588528912
Bandarbeyla,9.49,50.81,84.9,79,86,10.6,SO,1588528913
Labuan,5.28,115.24,80.6,94,90,4.27,MY,1588528913
St. George's,12.06,-61.75,87.8,66,40,20.8,GD,1588528913
Kumul,42.8,93.45,72.81,14,0,7.49,CN,1588528914
Tautira,-17.73,-149.15,80.6,83,40,4.7,PF,1588528914
Iqaluit,63.75,-68.51,14.0,72,75,20.8,CA,1588528914
Pudozh,61.81,36.53,48.94,95,92,3.15,RU,1588528914
Richards Bay,-28.78,32.04,71.35,83,14,7.54,ZA,1588528914
Tuy Hoa,13.08,109.3,75.09,90,30,3.33,VN,1588528807
Mehamn,71.04,27.85,37.4,89,75,9.17,NO,1588528915
Portland,45.52,-122.68,55.0,71,75,4.7,US,1588528711
Fare,-16.7,-151.02,83.16,77,79,14.85,PF,1588528915
Itoman,26.12,127.67,75.0,94,75,8.05,JP,1588528916
Manavālakurichi,8.13,77.3,84.2,79,40,4.7,IN,1588528916
Nuuk,64.18,-51.72,37.4,74,89,26.4,GL,1588528916
Guantánamo,20.14,-75.21,89.6,59,40,16.11,CU,1588528916
Manokwari,-0.87,134.08,80.33,82,84,5.28,ID,1588528917
Rumford,44.55,-70.55,66.2,42,75,5.82,US,1588528917
Yangi Marg`ilon,40.43,71.72,68.0,40,12,9.17,UZ,1588528917
Khvoynaya,58.9,34.53,52.61,92,95,3.76,RU,1588528917
Puerto Escondido,15.85,-97.07,86.0,62,5,9.17,MX,1588528918
Batticaloa,7.71,81.69,83.07,79,84,7.16,LK,1588528918
Balsas,-7.53,-46.04,88.57,53,73,4.65,BR,1588528695
Port Hedland,-20.32,118.57,64.4,72,43,6.93,AU,1588528918
Patan,27.67,85.33,66.2,72,20,2.24,NP,1588528689
Solwezi,-12.17,26.39,63.43,57,21,2.95,ZM,1588528919
San Luis,-33.3,-66.34,70.65,41,30,2.35,AR,1588528829
Aksarka,66.56,67.8,14.2,94,13,8.43,RU,1588528919
Atwater,37.35,-120.61,69.01,48,1,12.75,US,1588528919
Port Blair,11.67,92.75,84.18,78,96,8.79,IN,1588528920
Abnūb,27.27,31.15,87.8,29,96,9.17,EG,1588528920
Constitución,-35.33,-72.42,62.38,55,91,12.86,CL,1588528920
Maracás,-13.44,-40.43,79.52,47,46,1.77,BR,1588528920
Jieshou,33.26,115.36,74.61,50,0,8.28,CN,1588528921
Banda Aceh,5.56,95.32,79.88,74,92,5.95,ID,1588528665
Duncan,34.5,-97.96,84.2,54,1,7.54,US,1588528825
Plumbon,-6.71,108.47,78.96,80,78,3.33,ID,1588528921
Great Falls,47.5,-111.3,57.2,38,90,24.16,US,1588528823
Dukat,62.55,155.55,16.02,89,100,5.75,RU,1588528922
Broken Hill,-31.95,141.43,44.6,87,0,8.05,AU,1588528922
Gornopravdinsk,60.05,69.9,35.85,81,84,6.35,RU,1588528922
Qingyang,37.5,121.26,55.9,73,100,18.16,CN,1588528923
Chapais,49.78,-74.85,39.2,93,90,6.93,CA,1588528923
Shirokiy,49.76,129.52,36.63,65,100,8.88,RU,1588528923
Calbuco,-41.77,-73.13,55.4,87,90,14.99,CL,1588528924
Tierra Blanca,14.58,-88.58,87.66,32,42,5.86,HN,1588528924
Gaza,31.5,34.47,69.01,68,33,5.82,PS,1588528768
Tanout,14.97,8.89,94.84,8,12,7.65,NE,1588528924
Qaqortoq,60.72,-46.03,33.8,95,100,4.7,GL,1588528925
Trabzon Province,40.92,39.83,68.0,64,75,19.46,TR,1588528718
Smithers,54.78,-127.17,42.8,81,90,4.7,CA,1588528925
Nueva Italia,-25.62,-57.5,86.0,28,27,3.36,PY,1588528925
Zabul Province,32.25,67.25,66.24,19,64,13.94,AF,1588528926
Madera,37.17,-119.83,68.0,60,0,1.99,US,1588528926
El Dovio,4.51,-76.24,80.6,69,75,5.82,CO,1588528926
Karratha,-20.74,116.85,70.54,79,0,4.14,AU,1588528852
Tiarei,-17.53,-149.33,80.6,83,40,4.7,PF,1588528927
Westport,41.14,-73.36,73.99,72,1,11.41,US,1588528927
Zhigalovo,54.81,105.16,36.27,69,0,3.04,RU,1588528927
Yārāda,17.65,83.27,78.8,88,40,2.24,IN,1588528927
Puri,19.8,85.85,83.5,86,9,15.26,IN,1588528927
Dalvik,65.97,-18.53,44.6,24,98,8.05,IS,1588528928
Jurm,36.86,70.83,56.39,28,31,3.18,AF,1588528928
Nizhniy Tsasuchey,50.52,115.13,46.69,51,12,11.03,RU,1588528928
Moosomin,50.13,-101.67,46.89,44,0,12.57,CA,1588528928
Yingkou,40.66,122.23,44.55,67,90,18.03,CN,1588528929
Demidov,55.27,31.52,53.02,88,80,3.29,RU,1588528929
Potosí,-19.58,-65.75,58.69,10,76,3.83,BO,1588528929
Turochak,52.26,87.12,52.65,58,98,3.29,RU,1588528929
Honolulu,21.31,-157.86,78.8,60,75,12.75,US,1588528908
Asău,46.43,26.4,51.01,85,100,5.37,RO,1588528930
Ulyanovsk Oblast,54.0,48.0,51.8,57,7,2.24,RU,1588528930
Mazara del Vallo,37.66,12.59,68.0,88,20,13.87,IT,1588528931
Sioux Lookout,50.1,-91.92,30.2,86,90,5.82,CA,1588528849
Staraya Kulatka,52.72,47.62,49.51,67,39,8.19,RU,1588528931
Kongolo,-5.38,27.0,70.79,81,99,1.45,CD,1588528931
Masakin,35.73,10.58,80.6,60,20,12.75,TN,1588528932
Kunduz,36.73,68.86,69.66,48,0,4.34,AF,1588528932
Orchard Homes,46.86,-114.05,48.99,45,20,12.75,US,1588528932
Fort Nelson,58.81,-122.7,53.6,46,75,4.7,CA,1588528932
Melfi,41.0,15.65,64.4,63,75,17.22,IT,1588528933
Ust-Kuyga,70.02,135.6,2.91,91,0,1.74,RU,1588528933
Santa Isabel Rio Negro,-0.41,-65.02,84.49,84,40,2.59,BR,1588528933
Hereford,52.06,-2.71,55.0,76,100,1.61,GB,1588528933
Kyaikto,17.3,97.02,84.78,73,0,5.41,MM,1588528934
Baykit,61.67,96.37,40.48,77,97,4.52,RU,1588528934
Naze,28.37,129.48,71.6,94,75,8.05,JP,1588528934
Basse,52.55,9.51,59.0,47,100,6.93,DE,1588528934
Massaguet,12.48,15.44,102.2,27,20,5.82,TD,1588528935
Denpasar,-8.65,115.22,82.4,94,40,11.41,ID,1588528866
Luwuk,-0.95,122.79,79.25,79,99,4.03,ID,1588528935
The Valley,18.22,-63.06,87.8,62,20,8.05,AI,1588528935
Kavaratti,10.57,72.64,85.64,81,45,11.43,IN,1588528935
Erzin,36.96,36.2,64.99,82,49,2.77,TR,1588528936
Darhan,49.49,105.92,50.45,57,100,4.25,MN,1588528936
Evensk,61.95,159.23,24.08,94,100,20.78,RU,1588528936
Soanierana Ivongo,-16.92,49.58,74.57,83,34,0.67,MG,1588528936
Port Antonio,18.18,-76.46,84.99,70,75,9.17,JM,1588528937
Fonte Boa,-2.5,-66.27,83.95,84,71,1.74,BR,1588528937
Lumeje,-11.55,20.78,72.9,41,66,2.95,AO,1588528937
Tura,25.52,90.22,71.87,72,57,3.96,IN,1588528937
Borogontsy,62.67,131.17,18.0,94,0,5.41,RU,1588528938
Xichang,27.9,102.26,64.02,45,100,0.58,CN,1588528938
Maxixe,-23.86,35.35,73.4,88,0,7.09,MZ,1588528938
Luan,46.36,6.98,60.8,67,40,2.24,CH,1588528939
Flinders,-34.58,150.86,51.01,79,9,1.99,AU,1588528939
Mackay,-21.15,149.2,53.6,81,0,4.7,AU,1588528897
Auki,-8.77,160.7,78.84,83,95,4.43,SB,1588528939
Guider,9.93,13.95,90.81,35,79,11.48,CM,1588528939
Lompoc,34.64,-120.46,66.0,77,40,10.29,US,1588528905
Talcahuano,-36.72,-73.12,60.8,77,75,1.12,CL,1588528940
Dawlatabad,36.41,64.91,75.72,34,17,11.18,AF,1588528940
Port Shepstone,-30.74,30.45,66.11,79,5,9.93,ZA,1588528711
Mufumbwe,-13.68,24.8,72.61,39,81,3.27,ZM,1588528941
Mīzan Teferī,6.98,35.58,65.48,60,100,2.82,ET,1588528941
