City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,API Call Date
Tasiilaq,65.61,-37.64,33.8,91,100,5.82,GL,1602021862
Ushuaia,-54.8,-68.3,37.4,76,40,24.16,AR,1602021756
Khanbari,27.37,87.2,68.18,66,22,2.48,NP,1602021863
Toora-Khem,52.47,96.11,23.74,95,78,1.74,RU,1602021863
San Martín,-33.08,-68.47,78.8,21,0,8.05,AR,1602021863
Raudeberg,61.99,5.14,52.0,76,88,5.66,NO,1602021863
Punta Arenas,-53.15,-70.92,46.4,52,20,20.8,CL,1602021863
Baicheng,45.62,122.82,39.52,69,0,4.5,CN,1602021864
Kapaa,22.08,-159.32,86.0,70,75,8.05,US,1602021864
Avera,33.19,-82.53,78.8,65,40,6.93,US,1602021864
Waingapu,-9.66,120.26,74.12,73,39,3.78,ID,1602021864
Leningradskiy,69.38,178.42,24.53,88,0,5.44,RU,1602021865
Rawalpindi,33.6,73.07,64.4,68,0,2.24,PK,1602021625
Keti Bandar,24.14,67.45,81.1,75,59,11.32,PK,1602021866
Upernavik,72.79,-56.15,20.66,82,0,6.49,GL,1602021866
Lavrentiya,65.58,-171.0,34.9,84,99,13.51,RU,1602021866
Mataura,-46.19,168.86,50.0,75,90,17.0,NZ,1602021867
Souillac,-20.52,57.52,69.8,88,75,5.82,MU,1602021867
Yellowknife,62.46,-114.35,44.01,100,90,10.29,CA,1602021616
Hermanus,-34.42,19.23,61.0,86,0,3.0,ZA,1602021867
Saint George,37.1,-113.58,93.0,6,1,1.39,US,1602021602
Fredericksburg,38.3,-77.46,71.6,60,1,5.82,US,1602021815
Tuktoyaktuk,69.45,-133.04,33.8,100,90,6.93,CA,1602021868
Dikson,73.51,80.55,32.2,94,100,22.32,RU,1602021868
Fairbanks,64.84,-147.72,39.99,93,90,3.36,US,1602021640
Ola,59.58,151.28,37.51,66,0,8.5,RU,1602021869
Douentza,15.0,-2.95,96.35,19,72,5.57,ML,1602021869
Saint Paul Harbor,57.79,-152.41,55.4,50,1,12.75,US,1602021869
Abadan,38.05,58.21,57.2,35,75,4.7,TM,1602021735
Busselton,-33.65,115.33,44.01,72,100,11.39,AU,1602021844
Porto Belo,-27.16,-48.55,70.0,82,75,10.29,BR,1602021700
Avarua,-21.21,-159.78,73.4,64,75,12.75,CK,1602021870
Pangnirtung,66.15,-65.71,37.4,47,90,24.16,CA,1602021871
Lamu,-2.27,40.9,77.0,83,20,3.36,KE,1602021871
Mount Isa,-20.73,139.5,75.2,47,75,14.99,AU,1602021619
Saint-Pierre,-21.34,55.48,71.6,78,90,3.36,RE,1602021871
Mar del Plata,-38.0,-57.56,64.4,48,77,6.93,AR,1602021872
Puerto Ayora,-0.74,-90.35,75.2,60,64,16.11,EC,1602021872
Boké,10.94,-14.3,75.31,95,100,3.74,GN,1602021872
Korsakovo,53.27,37.36,53.56,43,66,13.15,RU,1602021872
Qaanaaq,77.48,-69.36,13.87,82,0,5.26,GL,1602021873
Pevek,69.7,170.31,29.64,89,0,10.87,RU,1602021873
Semey,50.41,80.23,35.22,79,75,14.27,KZ,1602021874
Prince Rupert,54.32,-130.32,53.6,87,1,4.7,CA,1602021644
Porto Santo,33.07,-16.34,71.6,78,20,10.29,PT,1602021874
San Cristobal,7.77,-72.22,91.4,41,40,16.11,VE,1602021732
Seoul,37.57,126.98,48.2,76,75,3.71,KR,1602021843
George Town,5.41,100.34,77.0,94,40,6.22,MY,1602021875
Matara,5.95,80.54,78.53,83,89,11.52,LK,1602021834
Nanortalik,60.14,-45.24,33.03,85,0,20.33,GL,1602021875
Khandagayty,50.73,92.05,34.29,86,100,7.81,RU,1602021876
Poum,-20.23,164.02,72.82,78,0,20.11,NC,1602021876
Hithadhoo,-0.6,73.08,82.26,73,96,6.73,MV,1602021876
Isangel,-19.55,169.27,75.2,88,75,6.93,VU,1602021876
Kaberamaido,1.74,33.16,65.79,86,11,2.73,UG,1602021877
Albany,42.6,-73.97,64.99,52,8,5.68,US,1602021877
Tambacounda,13.75,-13.76,77.0,94,20,4.7,SN,1602021877
Gravdal,68.12,13.5,55.4,62,34,12.75,NO,1602021878
Saint-Philippe,-21.36,55.77,71.6,78,90,3.36,RE,1602021878
Kahului,20.89,-156.47,89.6,52,20,16.11,US,1602021590
Hilo,19.73,-155.09,86.0,55,20,10.29,US,1602021878
Dali,25.7,100.18,60.91,87,63,1.07,CN,1602021879
Ngunguru,-35.62,174.5,66.99,61,12,5.99,NZ,1602021879
Kenora,49.82,-94.43,55.4,71,75,9.17,CA,1602021765
Bredasdorp,-34.53,20.04,57.2,93,2,3.36,ZA,1602021880
Yulara,-25.24,130.99,42.8,100,0,3.36,AU,1602021668
Owando,-0.48,15.9,72.36,94,100,3.47,CG,1602021880
Rikitea,-23.12,-134.97,74.3,84,100,9.86,PF,1602021880
Goundi,9.36,17.37,70.52,89,91,2.06,TD,1602021881
São Filipe,14.9,-24.5,79.09,70,4,5.84,CV,1602021881
Dunedin,-45.87,170.5,52.0,70,92,8.99,NZ,1602021881
Manyana,-23.4,21.72,58.55,82,0,5.28,BW,1602021881
Tiksi,71.69,128.87,26.01,95,97,27.63,RU,1602021882
Sur,22.57,59.53,78.58,55,2,7.81,OM,1602021882
Castro,-24.79,-50.01,75.88,41,49,2.98,BR,1602021882
Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,81,7,13.42,RU,1602021730
Provideniya,64.38,-173.3,39.2,89,90,22.37,RU,1602021883
Ryōtsu-minato,38.08,138.43,50.0,93,39,1.12,JP,1602021883
Lebu,-37.62,-73.65,50.68,77,0,14.18,CL,1602021883
Rock Springs,41.59,-109.2,73.4,11,1,12.75,US,1602021883
Ngaoundéré,7.32,13.58,63.1,94,89,1.25,CM,1602021884
La Ronge,55.1,-105.28,55.4,66,75,10.29,CA,1602021884
Khatanga,71.97,102.5,11.93,97,76,5.53,RU,1602021884
East London,-33.02,27.91,65.66,88,10,1.05,ZA,1602021885
Harper,4.38,-7.72,77.45,87,94,8.12,LR,1602021885
Lac du Bonnet,50.25,-96.06,62.01,57,40,10.0,CA,1602021629
Saskylakh,71.92,114.08,22.78,96,95,13.04,RU,1602021885
Maniitsoq,65.42,-52.9,26.01,85,0,8.08,GL,1602021885
Laas,46.62,10.7,54.0,93,75,4.7,IT,1602021886
Nemuro,43.32,145.57,55.58,80,2,5.37,JP,1602021886
Cidreira,-30.18,-50.21,58.53,85,0,8.99,BR,1602021874
Zapolyarnyy,69.42,30.81,42.8,87,75,9.17,RU,1602021887
Narsaq,60.92,-46.05,26.6,53,20,10.29,GL,1602021887
Bridlington,54.08,-0.19,51.8,87,12,10.29,GB,1602021887
Vaini,-21.2,-175.2,73.4,100,75,11.41,TO,1602021887
Atuona,-9.8,-139.03,78.49,73,26,15.32,PF,1602021888
Sainte-Anne-des-Monts,49.12,-66.49,52.65,79,88,10.33,CA,1602021888
Rey Bouba,8.67,14.18,70.23,86,80,2.01,CM,1602021888
Butaritari,3.07,172.79,82.65,79,0,13.76,KI,1602021888
Udachny,66.42,112.4,28.4,74,90,4.47,RU,1602021888
Olafsvik,64.89,-23.71,42.69,83,100,7.45,IS,1602021889
Thinadhoo,0.53,72.93,82.4,74,86,8.61,MV,1602021889
Sunrise Manor,36.21,-115.07,95.0,5,1,3.36,US,1602021670
Tilichiki,60.47,166.1,36.12,94,100,23.8,RU,1602021889
Umluj,25.02,37.27,85.98,47,0,7.67,SA,1602021798
Cape Town,-33.93,18.42,62.01,93,7,12.75,ZA,1602021646
Ponta do Sol,32.67,-17.1,69.8,88,75,12.75,PT,1602021890
Bethel,41.37,-73.41,64.4,48,1,9.17,US,1602021890
Hong Kong,22.29,114.16,75.0,73,3,7.0,HK,1602021609
Whyalla,-33.03,137.58,51.8,93,90,9.17,AU,1602021891
Kalmunai,7.42,81.82,78.8,80,72,4.47,LK,1602021891
Talnakh,69.49,88.4,23.0,92,40,13.42,RU,1602021891
Scottsbluff,41.87,-103.67,86.0,10,1,9.17,US,1602021857
Nikolskoye,59.7,30.79,55.4,87,90,4.47,RU,1602021892
Pontianak,-0.03,109.33,76.8,93,100,4.45,ID,1602021892
Tanete,-3.94,119.78,74.71,91,100,4.47,ID,1602021892
Port Elizabeth,-33.92,25.57,55.4,93,0,3.36,ZA,1602021693
Les Cayes,18.2,-73.75,82.17,79,88,7.49,HT,1602021633
Te Anau,-45.42,167.72,50.61,77,73,4.7,NZ,1602021893
Katsuura,35.13,140.3,66.2,63,75,13.87,JP,1602021893
Ribeira Grande,38.52,-28.7,69.55,74,78,10.83,PT,1602021893
Lagoa,39.05,-27.98,69.15,77,32,12.19,PT,1602021844
Hamilton,39.18,-84.53,71.6,33,1,14.99,US,1602021830
Jiménez,28.33,-105.4,87.8,9,5,14.99,MX,1602021894
Papara,-3.98,-38.73,80.6,74,12,9.17,BR,1602021894
New Norfolk,-42.78,147.06,50.0,87,1,4.0,AU,1602021894
Port Alfred,-33.59,26.89,61.77,89,6,1.63,ZA,1602021895
Shakhtinsk,49.71,72.59,32.0,77,100,15.66,KZ,1602021895
Eqbālīyeh,35.3,51.54,59.0,76,75,13.87,IR,1602021895
Banda Aceh,5.56,95.32,78.58,81,100,12.75,ID,1602021896
Thompson,55.74,-97.86,37.4,64,90,1.41,CA,1602021896
Kimberley,-28.73,24.76,59.0,58,91,4.7,ZA,1602021896
Eydhafushi,5.1,73.07,81.68,76,99,12.19,MV,1602021896
Bluff,-46.6,168.33,50.0,75,72,17.0,NZ,1602021897
Port-Cartier,50.03,-66.87,50.0,87,90,6.93,CA,1602021897
Blora,-6.97,111.42,74.07,79,59,5.03,ID,1602021897
Krasnoborsk,61.56,45.93,45.28,88,100,5.37,RU,1602021897
Caravelas,-17.71,-39.25,76.28,77,0,11.59,BR,1602021898
Yanam,16.73,82.22,77.77,91,92,1.83,IN,1602021898
Saiha,22.48,92.97,69.13,93,98,1.66,IN,1602021898
Tsimmerbude,54.67,20.13,55.4,82,42,6.71,RU,1602021898
Kruisfontein,-34.0,24.73,57.0,96,0,2.91,ZA,1602021899
Jamestown,42.1,-79.24,61.0,47,90,16.11,US,1602021878
Cockburn Town,21.46,-71.14,82.4,74,40,16.11,TC,1602021899
Christchurch,-43.53,172.63,57.0,81,51,4.7,NZ,1602021899
College,64.86,-147.8,39.99,93,90,1.92,US,1602021900
Taoudenni,22.68,-3.98,96.13,17,54,9.22,ML,1602021900
Makushino,55.21,67.24,41.07,93,100,10.07,RU,1602021900
Carnarvon,-24.87,113.63,51.8,76,0,8.05,AU,1602021900
Esim,4.87,-2.24,77.02,88,64,10.04,GH,1602021901
Labuhan,-6.88,112.21,76.84,77,22,10.98,ID,1602021901
Nome,64.5,-165.41,35.6,59,40,8.05,US,1602021901
Nishihara,26.18,127.76,77.0,83,20,5.82,JP,1602021902
Kiryat Gat,31.61,34.76,75.99,43,0,1.99,IL,1602021902
Gizo Government Station,-8.1,156.84,81.84,75,88,7.09,SB,1602021903
Shahrud,36.42,54.98,55.54,67,98,4.61,IR,1602021903
Aginskoye,51.1,114.53,30.31,87,80,3.24,RU,1602021903
Torbay,47.67,-52.73,46.99,81,20,12.75,CA,1602021799
Ginda,30.69,78.49,57.92,55,0,4.97,IN,1602021904
Borba,-4.39,-59.59,74.88,90,100,1.74,BR,1602021904
Mehamn,71.04,27.85,44.6,87,75,8.05,NO,1602021904
Port Hardy,50.7,-127.42,60.8,87,75,9.17,CA,1602021690
Ilulissat,69.22,-51.1,24.8,49,7,9.17,GL,1602021905
San Patricio,19.22,-104.7,91.4,75,75,5.88,MX,1602021905
Shenjiamen,29.96,122.3,67.3,74,70,16.75,CN,1602021905
Peleduy,59.63,112.74,36.73,82,100,1.63,RU,1602021906
Ponezhukay,44.89,39.39,62.01,44,0,11.18,RU,1602021906
Grindavik,63.84,-22.43,39.2,100,75,6.93,IS,1602021906
Cherskiy,68.75,161.3,29.12,89,9,1.63,RU,1602021906
Arraial do Cabo,-22.97,-42.03,75.2,88,75,11.41,BR,1602021907
Mount Gambier,-37.83,140.77,48.2,100,90,10.29,AU,1602021907
Bengkulu,-3.8,102.27,74.55,88,24,3.85,ID,1602021907
Jennings,38.72,-90.26,80.6,39,1,12.75,US,1602021908
Port Keats,-14.25,129.55,81.21,72,18,3.98,AU,1602021908
Norman Wells,65.28,-126.83,41.0,80,75,16.11,CA,1602021908
Tieling,42.29,123.84,46.26,63,0,6.24,CN,1602021908
Margate,51.38,1.39,60.01,82,59,4.0,GB,1602021883
Meadow Lake,34.8,-106.54,84.99,12,1,6.93,US,1602021616
Severo-Kuril'sk,50.68,156.12,48.29,80,92,22.15,RU,1602021909
Yumen,40.28,97.2,43.74,60,32,7.02,CN,1602021910
Mīrābād,30.44,61.84,64.33,32,0,19.15,AF,1602021910
Klaksvík,62.23,-6.59,51.8,81,100,8.05,FO,1602021910
San Bartolomé de Tirajana,27.92,-15.57,71.6,83,40,18.34,ES,1602021910
Arrondissement de Poitiers,46.58,0.33,55.4,87,100,12.75,FR,1602021910
Florø,61.6,5.03,55.4,71,40,2.24,NO,1602021911
Bambous Virieux,-20.34,57.76,71.01,88,75,5.82,MU,1602021911
Kununurra,-15.77,128.73,77.0,83,90,5.82,AU,1602021911
Hobart,-42.88,147.33,50.0,81,20,8.05,AU,1602021911
Tsabong,-26.02,22.4,64.85,69,28,2.21,BW,1602021912
Salinópolis,-0.61,-47.36,80.49,77,89,13.8,BR,1602021912
Korla,41.76,86.15,49.86,34,29,18.52,CN,1602021816
Barentu,15.11,37.59,77.41,39,0,2.46,ER,1602021913
Lompoc,34.64,-120.46,75.0,64,1,12.75,US,1602021640
Yar-Sale,66.83,70.83,32.27,95,95,22.12,RU,1602021749
Kudahuvadhoo,2.67,72.89,82.63,77,99,10.8,MV,1602021913
Manokwari,-0.87,134.08,79.97,76,100,2.75,ID,1602021913
Kampot,10.62,104.18,78.8,88,40,1.61,KH,1602021914
Mahébourg,-20.41,57.7,69.8,88,75,5.82,MU,1602021833
Balakhninskiy,58.01,114.28,30.7,94,51,2.17,RU,1602021914
Miles City,46.41,-105.84,84.2,18,1,19.46,US,1602021914
Aasiaat,68.71,-52.87,15.37,93,0,8.25,GL,1602021915
Sinnamary,5.38,-52.95,81.39,81,0,9.62,GF,1602021915
Meulaboh,4.14,96.13,74.98,91,100,4.25,ID,1602021915
Kungurtug,50.6,97.52,31.28,92,100,1.66,RU,1602021915
Cortez,37.35,-108.59,78.8,10,1,12.75,US,1602021916
San-Pédro,4.75,-6.64,77.05,88,100,7.45,CI,1602021916
Aguada de Pasajeros,22.39,-80.85,83.52,81,13,9.31,CU,1602021916
Rosarito,32.33,-117.03,86.0,54,75,10.29,MX,1602021916
Erzin,36.96,36.2,79.0,70,0,2.51,TR,1602021917
Abhā,18.22,42.51,66.2,18,0,4.7,SA,1602021917
Urumita,10.56,-73.01,78.82,82,96,2.66,CO,1602021854
Ambon City,-3.7,128.18,80.89,81,100,5.12,ID,1602021917
Awjilah,29.11,21.29,81.7,16,11,8.1,LY,1602021918
Puerto Baquerizo Moreno,-0.9,-89.6,73.4,73,20,16.11,EC,1602021918
Port Blair,11.67,92.75,80.94,77,100,7.23,IN,1602021911
Tabou,4.42,-7.35,77.34,87,93,7.87,CI,1602021918
Alofi,-19.06,-169.92,78.8,74,75,13.87,NU,1602021919
Yambio,4.57,28.4,68.74,95,100,2.39,SS,1602021919
Neiafu,-18.65,-173.98,80.6,78,75,13.87,TO,1602021919
Anadyr,64.75,177.48,39.2,86,75,29.08,RU,1602021770
Salta,-24.79,-65.41,75.2,31,80,11.41,AR,1602021919
Hatillo,18.49,-66.83,84.0,69,1,11.41,PR,1602021920
Bodmin,50.47,-4.72,55.4,82,47,24.16,GB,1602021920
Brae,60.4,-1.35,51.8,93,100,5.82,GB,1602021920
Bétérou,9.2,2.26,76.08,84,98,1.95,BJ,1602021920
Pangai,-19.8,-174.35,77.0,88,75,18.34,TO,1602021921
Constitución,-35.33,-72.42,55.8,76,0,17.67,CL,1602021921
Villazón,-22.09,-65.59,65.05,29,87,19.13,BO,1602021921
Codrington,-38.27,141.97,52.99,88,99,13.65,AU,1602021922
Mitú,1.2,-70.17,83.44,68,55,1.74,CO,1602021902
Itapirapuã,-15.82,-50.61,91.65,17,17,3.78,BR,1602021922
‘Ewa Beach,21.32,-158.01,86.0,58,1,9.17,US,1602021922
Husavik,66.04,-17.34,44.6,81,75,6.93,IS,1602021922
Ise,34.48,136.7,64.99,73,42,1.01,JP,1602021923
São Félix do Xingu,-6.64,-51.99,82.47,59,98,1.92,BR,1602021923
Durusu,41.31,28.68,75.2,53,95,11.41,TR,1602021923
Talcahuano,-36.72,-73.12,59.0,62,0,13.87,CL,1602021923
Saldanha,-33.01,17.94,57.2,87,0,5.82,ZA,1602021924
Dicabisagan,17.08,122.42,79.32,86,100,8.66,PH,1602021924
Sojat,25.92,73.67,77.14,39,100,5.03,IN,1602021924
Hervey Bay,-25.3,152.85,71.01,73,63,3.0,AU,1602021925
Porvoo,60.39,25.67,54.0,95,40,1.01,FI,1602021925
Verkhoyansk,67.54,133.38,31.05,86,2,4.81,RU,1602021925
Maceió,-9.67,-35.74,75.2,83,8,10.29,BR,1602021793
Quang Ngai,15.12,108.8,77.41,93,100,5.68,VN,1602021926
Portland,45.52,-122.68,80.01,53,1,3.85,US,1602021694
Cabo San Lucas,22.89,-109.91,90.0,49,5,13.87,MX,1602021926
Olinda,-8.01,-34.86,80.6,74,75,10.29,BR,1602021689
Gamba,-2.65,10.0,77.5,84,100,7.07,GA,1602021926
Unity,52.45,-109.17,60.19,32,15,22.15,CA,1602021927
Pokhara,28.23,83.98,67.46,51,40,4.43,NP,1602021784
Hasaki,35.73,140.83,63.0,77,40,8.05,JP,1602021927
Monrovia,6.3,-10.8,77.0,94,75,7.78,LR,1602021928
Iqaluit,63.75,-68.51,33.8,98,90,23.04,CA,1602021928
Miracema do Tocantins,-9.56,-48.4,88.56,20,92,4.09,BR,1602021928
Quryq,43.2,51.65,49.12,40,11,13.6,KZ,1602021928
Diré,12.28,-10.97,75.31,91,90,2.73,ML,1602021929
Narodychi,51.2,29.08,58.62,95,100,9.64,UA,1602021929
Moree,-29.47,149.85,66.2,59,16,17.22,AU,1602021929
Bayanday,53.07,105.51,32.94,93,87,3.98,RU,1602021929
Iwanai,42.97,140.51,53.11,83,90,4.9,JP,1602021929
Makakilo City,21.35,-158.09,86.0,58,1,9.17,US,1602021712
Guerrero Negro,27.98,-114.06,92.79,23,45,14.18,MX,1602021930
Xining,36.62,101.77,39.56,77,0,2.24,CN,1602021930
Flateby,59.83,11.17,53.01,97,100,4.03,NO,1602021930
Nueva Guinea,11.69,-84.46,78.91,90,100,5.97,NI,1602021931
Santa Cruz,30.42,-9.6,64.4,82,65,4.7,MA,1602021931
Kaitangata,-46.28,169.85,51.01,62,84,21.99,NZ,1602021931
Xichang,27.9,102.26,60.01,99,100,3.91,CN,1602021931
Dingle,11.0,122.67,76.8,89,100,2.84,PH,1602021932
Qarqīn,37.42,66.04,53.38,38,0,9.17,AF,1602021932
Salalah,17.02,54.09,75.2,73,65,4.7,OM,1602021932
Kizner,56.27,51.51,49.91,89,100,6.2,RU,1602021932
Henties Bay,-22.12,14.28,55.99,91,0,3.6,NA,1602021933
Berlevåg,70.86,29.09,44.6,87,75,8.05,NO,1602021933
Bathsheba,13.22,-59.52,77.0,94,40,5.82,BB,1602021933
Moses Lake,47.13,-119.28,80.6,32,1,5.82,US,1602021648
Khandyga,62.67,135.6,31.6,99,100,6.73,RU,1602021934
